id_examinee,math,history,geography,literature,civic_education,english
1001002,8.4,7.75,7.5,7.75,8.5,9
1001078,6,8.25,8.75,8.75,8.75,6.4
1001110,5.6,5,5.5,5.75,6.75,9.4
1001276,6.2,3.5,5.5,5.75,7.75,7.4
1001278,7.8,2.75,6.25,5.25,8.75,6.2
1001279,7.8,5,7.5,7.5,8.5,8.2
1001280,4,4,6,6.25,8.75,4.2
1001281,4.8,4,4.75,4.5,6.75,3.8
1001282,5.4,4.5,7.75,5.75,6.75,6
1001286,8,7,7.25,7,9.5,9.2
1001287,7,6.5,8,6.25,7.5,7
1001289,5.6,5,6.25,3.75,9.25,8.4
1001292,6,6,7,7.75,8.5,8
1001295,6.2,5.5,6.75,7.25,8.75,6.2
1001296,5,6.75,6.75,5.75,9,4.4
1001297,4.2,3,6.25,5.75,6,7.2
1001301,8.8,7.25,8,7.75,8.5,9.4
1001303,7.2,5.25,6.25,7.5,7.5,9.4
1001304,3.6,1.5,5.5,5.75,6.25,3.8
1001305,6.4,8,8,7.5,8.75,7.6
1001306,8.6,6.5,7.5,8.25,8.25,10
1001307,4.2,4,6.5,7.75,7,5.2
1001308,8.6,7,8,9.25,9.25,10
1001310,7.4,3.25,6.5,8,6.25,6.6
1001311,7.8,5.75,7.25,8,7.5,8.4
1001312,8.6,7.25,8.25,9,9.75,9.2
1001314,8.4,6.75,9,8.25,8.75,9.6
1001315,7.2,5,6.5,7,8.25,8.4
1001317,8,6,8.25,8.25,9.75,8.8
1001318,6,3.5,6.25,5.75,8,7.4
1001319,8.4,6.5,7.75,8.5,9.5,9.8
1001321,7.8,6.75,8,8,9.5,9.4
1001322,7.8,3.75,5.75,8.75,7.75,8.2
1001323,8,6.25,7.75,8.5,9.75,9.6
1001324,8.4,5.5,7,8,8,9.8
1001326,7.2,7,7.25,8,8.75,9.6
1001328,7.6,6,7,7,6.75,9.2
1001329,8.6,3.5,7.75,8.25,8,7.8
1001330,5.8,5,7.25,8.5,7.25,7.8
1001331,7,3.5,5.75,8.75,7,8.8
1001332,9,7.25,7.75,9,9.25,9.8
1001333,3.2,3,4.5,3.75,6.5,6.4
1001334,6.6,4.75,6.5,7.75,9.5,7.4
1001335,8.2,5,7.75,8.75,9,9.2
